url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
92,32,47,0,2,8,0,0,4,0,0,0,0,0.1957,0.6413,4.6435,3.6289,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
34,10,9,0,2,0,0,0,4,0,0,0,0,0.0,0.7941,4.1385,2.6464,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
30,10,7,0,4,0,0,0,3,0,0,0,0,0.4,0.3,4.0817,2.6464,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
33,13,7,0,4,0,0,0,3,0,0,0,0,0.4545,0.2727,4.0061,2.8151,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
44,13,19,0,4,0,0,0,4,0,0,0,0,0.3182,0.4545,4.1352,2.5074,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
34,6,17,0,1,0,0,0,4,0,0,0,0,0.0,0.8235,4.1163,1.7925,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
25,13,5,0,3,0,0,0,3,0,0,0,0,0.44,0.28,3.8635,2.8731,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
31,14,10,0,4,0,0,0,3,0,0,0,0,0.3871,0.3548,3.8087,2.4138,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
25,13,5,0,3,0,0,0,3,0,0,0,0,0.4,0.32,3.9435,2.8731,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
39,13,19,0,4,0,0,0,4,0,0,0,0,0.2564,0.5128,4.1504,2.6032,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
35,15,7,0,4,0,0,0,3,0,0,0,0,0.4857,0.2571,3.9002,2.3219,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
35,15,7,0,4,0,0,0,3,0,0,0,0,0.4857,0.2571,3.8646,2.5559,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
